C0008301  Choking
C0584605  Unable produce voiceless sound
C0584610  Unable prod voice/vless combin
C0584611  Diff produc voice/vless combin
C0584637  Able to cough voluntarily
C0584638  Unable to cough voluntarily
C0584639  Difficult coughing voluntarily
C0584809  Discharg mastoid cav-mucopurul
C0584815  Discharge in middle meatus
C0584816  Discharge in inferior meatus
C0584818  Arytenoid observation
C0584819  Obser of mobility of arytenoid
C0584820  Arytenoid mobile
C0584821  Arytenoid partially fixed
C0584822  Arytenoid fixed
C0584831  Vocal cord does not adduct on respiration
C0584832  Impaired abduc voc cord respir
C0584834  Paradox move vocal cord respir
C0584836  Tonsil asymmetry
C0584838  Observation of posterior choanae
C0584839  Choanae patent
C0584845  Unable to hear whisper
C0584846  Unable to hear conversat voice
C0584847  Unable to hear loud voice
C0585348  Biphasic stridor
C0585354  Choanae non-patent
C0585664  Nose bleed/epistaxis symptom
C0586662  Asthma causing night waking
C0586663  Asthma never disturbs sleep
C0586665  Asthma disturbs sleep weekly
C0586669  Asthma disturbs sleep freqntly
C0586678  Asthma never restrcts exercise
C0587052  Hilar mass
C0589600  Stillman's gingival cleft
C0589608  Tooth mobility - grade 1
C0589609  Tooth mobility - grade 2
C0589610  Tooth mobility - grade 3
C0600028  Loose tooth
C0683113  fetor
C0684910  Discolored lung
C0684911  Mottled lung
C0684912  Pale lung
C0687152  Coughs
C0700292  Hypoxemia
C0700440  Lung field abnormal
C0729744  On examination - breath sounds abnormal
C0729791  On examination - pharynx NAD
C0730383  Squamous metaplasia of lung (disorder)
C0730491  Laryngeal joint observation
C0730600  Nose breathing
C0733512  Chest movement equal
C0743069  dentures lower (physical finding)
C0743071  dentures upper (physical finding)
C0744405  gingival mass (physical finding)
C0746765  NASAL MASS
C0746777  Mass of nasopharynx
C0747639  Loculated pleural effusion
C0749582  tongue ulcer (___ cm) aphthous
C0749871  Recurrent upper respiratory infections
C0857008  Deafness right ear
C0857009  Deafness left ear
C0859897  cord dysfunction vocal
C0877742  sores on tongue
C0949155  dental sealant status (diagnosis)
C1262033  sputum decreased (symptom)
C1266856  Motivated to preserve dentition (finding)
C1268764  rndx respiratory alteration (diagnosis)
C1268765  Artificial ventilation finding (finding)
C1268768  Impaired Dentition
C1269534  Nose observation
C1269535  Ventilation observations
C1271925  Negative reversibility test to salbutamol (finding)
C1271927  Negative reversibility test to ipratropium bromide (finding)
C1271929  Negative reversibility test to combination of salbutamol and ipratropium bromide (finding)
C1271930  Negative reversibility test to corticosteroid (finding)
C1271931  Positive reversibility test to salbutamol (finding)
C1271932  Positive reversibility test to ipratropium bromide (finding)
C1271933  MRC Breathlessness Scale: grade 1 (finding)
C1271934  Positive reversibility test to a combination of salbutamol and ipratropium bromide (finding)
C1271935  Positive reversibility test to corticosteroids (finding)
C1271936  MRC Breathlessness Scale: grade 2 (finding)
C1271937  MRC Breathlessness Scale: grade 3 (finding)
C1271938  MRC Breathlessness Scale: grade 4 (finding)
C1271939  MRC Breathlessness Scale: grade 5 (finding)
C1272190  Peak expiratory flow rate - technique poor (finding)
C1272191  Peak expiratory flow rate - technique moderate (finding)
C1272192  Peak expiratory flow rate - technique good (finding)
C1272200  Short of breath dressing/undressing (finding)
C1272201  Breathless - strenuous exertion (finding)
C1272203  Peak expiratory flow rate - compliance good (finding)
C1272216  Peak expiratory flow rate - compliance moderate (finding)
C1272217  Peak expiratory flow rate - compliance poor (finding)
C1272273  asthma finding
C1273489  Asthma night-time symptoms (finding)
C1273537  O/E - sternal recession (finding)
C1273538  O/E - intercostal recession (finding)
C1273539  O/E - subcostal recession (finding)
C1273540  O/E - suprasternal recession (finding)
C1275719  mechanical failure of respirator (diagnosis)
C1276010  O/E - respiratory device
C1276804  Asthma daytime symptoms (finding)
C1277171  Asthma treatment compliance satisfactory (finding)
C1277172  Asthma treatment compliance unsatisfactory (finding)
C1277275  Asthma never causes daytime symptoms (finding)
C1277590  Unexplained cough (finding)
C1277600  Deteriorating hearing (finding)
C1277601  Complaining of wax in ear
C1279413  Respiratory murmur
C1280474  Transfer factor
C1287642  Finding of form of nose
C1287643  Finding of form of bridge of nose
C1287644  Finding of form of tip of nose
C1287645  Finding of form of nostril
C1287646  Finding of contents of anterior nasal cavity
C1287647  Finding of size of adenoids
C1287648  Finding of nasal airway patency
C1287649  Finding of position of vocal cord at rest
C1287650  Finding of position of vocal cords on respiration
C1287651  Finding of position of trachea
C1287653  Finding of movement of trachea
C1287654  Cough reflex finding (finding)
C1287655  Finding related to ability to cough (finding)
C1287656  Finding related to ability to cough voluntarily (finding)
C1287657  Finding related to ability to cough up sputum (finding)
C1287658  Chest movement appearance finding (finding)
C1287659  Finding of symmetry of chest movement
C1287660  Finding of chest expansion
C1287665  Obs of sound of breathing
C1287666  Obs of resonance of voice
C1287667  Finding of exocardial sounds
C1287669  Finding of ease of respiration
C1287670  Finding of method of breathing
C1287671  Finding of route of breathing
C1287673  Finding of respiratory pattern
C1287674  Respiratory rhythm finding (finding)
C1287675  Finding of depth of respiration
C1287676  Finding of posture for breathing
C1287677  Finding of respiratory measurements
C1287678  Finding of respiratory volume
C1287679  Finding of dynamic lung volume
C1287680  Finding of forced expired volume
C1287681  Finding of forced vital capacity
C1287682  Vital capacity
C1287684  Finding of respiratory flow rate
C1287685  Finding of peak flow rate
C1287686  Finding of peak expiratory flow rate
C1287729  Finding of pulmonary artery appearance
C1287749  Finding related to eruption of tooth (finding)
C1287750  Finding of tooth angulation
C1287751  Finding of incisor tooth inclination
C1287752  Finding of incisor tooth angulation
C1287753  Finding of canine tooth angulation
C1287754  Finding of buccal tooth inclination
C1287755  Finding of interincisal teeth angle
C1287756  Finding of tooth color
C1287760  Finding of size of tongue
C1287761  Finding of colour of gingivae
C1288181  Finding of moistness of nasal mucosa
C1288255  asthma causes night symptoms 1 to 2 times per month
C1288256  Asthma causes daytime symptoms 1 to 2 times per month (finding)
C1288257  Asthma causes daytime symptoms 1 to 2 times per week (finding)
C1288258  asthma causes daytime symptoms most days
C1290508  Abnormal number of teeth
C1290741  Dental restoration aesthetically inadequate or displeasing
C1290770  Erythema of mucous membrane of oral vestibule (finding)
C1291001  Obligatory mouth breathing (finding)
C1291002  Mouth breathing with nasal obstruction (finding)
C1291003  Respiratory rate AND/OR rhythm finding (finding)
C1291004  Finding related to respiratory sounds (finding)
C1291005  Respiratory auscultation finding (finding)
C1291006  Finding on percussion of lung fields (finding)
C1291007  Respiratory finding on palpation of chest wall (finding)
C1291008  reverse sneezing
C1291009  Nervous system respiratory control finding (finding)
C1291014  Increased blood oxygen pressure (finding)
C1291015  Decreased blood oxygen pressure (finding)
C1291046  Active tooth eruption (finding)
C1291047  Dental galvanism (finding)
C1291049  Abnormal tooth mobility (finding)
C1291051  Insufficient anatomic crown height (finding)
C1291052  Insufficient clinical crown height (finding)
C1291053  Insufficient clinical crown height due to altered passive eruption (finding)
C1291058  Edge to edge articulation of teeth
C1291067  Lack of embrasure between adjacent teeth (finding)
C1291068  Form of root of tooth (finding)
C1291069  Normal form of root of tooth (finding)
C1291070  Abnormal dental root morphology
C1291071  Long dental root form
C1291072  Short dental root form
C1291073  Curved dental root form
C1291074  Conical form of root of tooth (finding)
C1291076  Loss of gingival stippling (finding)
C1291080  Abnormal oxygen supply (finding)
C1298821  Annular abscess of aortic root
C1301537  Asthma trigger finding (finding)
C1301597  Borg Breathlessness Score finding (finding)
C1301608  Borg Breathlessness Scale finding (finding)
C1301655  minute ventilation
C1301762  Ventilation-perfusion finding (finding)
C1301865  Expiratory concentration (finding)
C1302205  Redundant soft palate (finding)
C1303043  Tracheal stent in situ (finding)
C1303045  Difficulty hearing with background noise (finding)
C1303046  Difficulty hearing whispers (finding)
C1303162  Does not use spacer device (finding)
C1303233  Borg Breathlessness Score: 0 none at all (finding)
C1303237  Borg Breathlessness Score: 1 very slight (finding)
C1303238  Borg Breathlessness Score: 2 slight (finding)
C1303239  Borg Breathlessness Score: 3 moderate (finding)
C1303240  Borg Breathlessness Score: 4 somewhat severe (finding)
C1303242  Borg Breathlessness Score: 5 severe (finding)
C1303244  Borg Breathlessness Score: 6 severe (+) (finding)
C1303248  Borg Breathlessness Score: 7 very severe (finding)
C1303249  Borg Breathlessness Score: 8 very severe (+) (finding)
C1303250  Borg Breathlessness Score: 9 very, very severe (almost maximal) (finding)
C1303251  Borg Breathlessness Score: 10 maximal (finding)
C1303274  Borg Breathlessness Score: 0.5 very, very slight (just noticeable) (finding)
C1313969  Hearing difficulty
C1314724  Acidotic hyperventilation
C1314740  V/Q - Ventilation/perfusion ratio
C1319850  Serial peak expiratory flow rate abnormal (finding)
C1319853  Asthma, NSAID-induced
C1320704  Airway device cuff problem (finding)
C1320705  Airway device cuff overinflated (finding)
C1320706  Airway device cuff underinflated (finding)
C1320707  Airway device cuff herniation (finding)
C1320796  High airway pressure (finding)
C1320797  Failure to ventilate patients lungs mechanically
C1321082  Attrition of tooth due to teeth grinding (disorder)
C1328799  Deep breathing
C1384666  Hearing loss
C1385363  presence; graft, lung
C1385417  skin abscess of chest wall
C1385762  abnormal; lung, test results
C1386230  decreased; ventilatory capacity
C1404106  failure; intubation, during labor
C1404286  difficult; intubation, during labor
C1407869  test results; pulmonary test results abnormal
C1410803  decreased; ventilatory or vital capacity
C1456207  lack of posterior occlusal support (diagnosis)
C1456216  occlusal plane deviation
C1527344  Dysphonia
C1532373  Respiratory status is consistent with or improved from preoperative baseline (finding)
C1562008  Finding of Cormack and Lehane grade (finding)
C1562059  Epiglottis visible, vocal cords not visible (finding)
C1562178  Epiglottis not visible (finding)
C1562193  Cormack and Lehane grade 3 (finding)
C1562211  Cormack and Lehane grade 1 (finding)
C1562370  Cormack and Lehane grade 4 (finding)
C1562829  Cormack and Lehane grade 2 (finding)
C1562870  Vocal cords viewable
C1563258  Partial view of vocal cords
C1626395  On examination - adventitious sounds present (finding)
C1628489  On examination - atelectasis (disorder)
C1629513  Nasal endotracheal tube in situ
C1630410  Endotracheal tube in situ
C1631595  Airway device present (finding)
C1639521  Oral endotracheal tube in situ
C1641842  Larygeal mobility limited following radiotherapy
C1690530  On examination - lung cavitation (finding)
C1699657  Tracheostomy Site Bleeding
C1707305  Carious Dentin
C1708779  Lung Overinflation
C1709089  Multilocular Thymic Cyst
C1709770  Pulmonary Dysfunction
C1709928  Restricted Airflow
C1719487  Prenatal teeth
C1827028  Erosion of oesophageal tumour into trachea
C1827038  On examination - lungs normal
C1827263  Mallampati class IV (finding)
C1827433  On examination - soft palate and base of uvula visible
C1827526  On examination - hard palate only visible (finding)
C1827654  Mallampati score not assessable (finding)
C1827685  Obstruction of airway by tongue
C1827767  Mallampati class I (finding)
C1827931  On examination - soft palate, fauces, uvula, anterior and posterior pillars visible
C1827961  Mallampati class II (finding)
C1828006  Erosion of esophageal tumor into bronchus
C1828017  Intermittent hyperventilation
C1828062  Difficulty hearing speech in large group setting (finding)
C1828355  On examination - soft palate, fauces and uvula visible (finding)
C1828440  Finding of Mallampati score (finding)
C1828450  Mallampati class III (finding)
C1829460  Tongue thrusting
C1839694  Mucoid nasal discharge
C1853244  Anteverted nares
C1853729  Vocal cord weakness
C1861439  subglottic web (physical finding)
C1862923  Excessive drooling
C1866203  Recurrent respiratory infections
C1882989  Secondary Caries
C1955514  Feeling of foreign body in throat
C1960049  Exacerbation of intermittent asthma (disorder)
C1960050  Exacerbation of persistent asthma (disorder)
C1960053  Solitary nodule of lung
C1960157  Blood in upper airway (finding)
C1960158  Gastrointestinal contents in upper airway (finding)
C1961007  Obstruction of airway by blood (finding)
C1961082  Obstruction of airway by food
C1996971  Partial obstruction of airway by blood (finding)
C1997086  Asymmetric hearing loss
C1997094  Dependence on continuous positive airway pressure ventilation
C1997587  Obstruction of airway by foreign body
C1997662  Dependence on biphasic positive airway pressure ventilation
C1997771  Chronic hypercapnia (disorder)
C1997843  Airway contains vomitus
C1997874  Partial obstruction of airway by food
C1997960  Partial obstruction of airway by foreign body (finding)
C1999000  Ineffective breathing pattern
C1999008  Ventilatory weaning impairment
C1999010  Impaired Breathing
C2004603  teeth fracture tooth no. ___
C2006439  carbuncle of ala nasi
C2006480  carbuncles on both nostrils (physical finding)
C2006482  carbuncles on both paranasal folds (physical finding)
C2006497  carbuncles on columella of nose (physical finding)
C2006548  carbuncle of dorsum of nose (physical finding)
C2006649  carbuncles on left lower paranasal fold
C2006660  carbuncles on left nostril (physical finding)
C2006662  carbuncles on left paranasal fold (physical finding)
C2006669  carbuncles on left side of nose
C2006672  carbuncles on left side of tip of nose
C2006686  carbuncles on left upper paranasal fold (physical finding)
C2006738  carbuncles on nasolabial groove
C2006740  carbuncles on nostril
C2006754  carbuncles on paranasal fold
C2006852  carbuncles on right lower paranasal fold (physical finding)
C2006863  carbuncles on right nostril (physical finding)
C2006865  carbuncles on right paranasal fold
