C0000804  Abortion, Criminal
C0437163  O/E - presenting part free-4/5
C0437164  O/E - partial engagement - 3/5
C0437165  O/E - partial engagement - 2/5
C0437166  O/E - presentation engaged-1/5
C0437168  O/E - fetal movements
C0437170  O/E - fetal movements seen
C0437171  O/E - fetal movements felt
C0437172  O/E - fetus very active
C0437173  O/E - fetal movemnt.diminished
C0437176  O/E - fetal heart 40-80
C0437177  O/E - fetal heart 80-100
C0437181  O/E - fetal heart 180-200
C0437182  O/E - fetal heart > 200
C0437192  O/E - VE - cervical dilatation
C0437193  O/E - VE - cervical os closed
C0437194  O/E - VE - os=0-1cm dilated
C0437195  O/E - VE - os=1-2cm dilated
C0437196  O/E - VE - os=2-4cm dilated
C0437197  O/E - VE - os=4-6cm dilated
C0437198  O/E - VE - os=6-8cm dilated
C0437199  O/E - VE - os=8-10cm dilated
C0437200  O/E - VE - os=fully dilated
C0437207  Placenta normal O/E
C0437285  O/E - choreiform movement
C0437447  O/E - cremasteric reflex +ve.
C0437448  O/E - cremasteric reflex -ve.
C0437454  O/E - micturition reflex
C0437455  O/E -micturition reflex normal
C0437456  O/E - mict.refl.abn.-retention
C0437457  O/E-mict.refl.abn-ret+overflow
C0437458  O/E - automatic micturition
C0437791  O/E - blackheads
C0437834  O/E - arachnodactyly
C0437929  O/E - lower leg bone abnormal
C0438018  O/E: phosphate -staghorn-stone
C0438019  O/E: uric acid renal calculus
C0438024  O/E - ureteric calculus
C0438025  O/E - urethral calculus
C0438028  O/E-vesical uric acid calculus
C0438029  O/E-vesical phosphate calculus
C0438138  Amniotic fluid AFP abnormal
C0438297  Urinary stoma bag adjusted
C0438298  Urinary stoma bag changed
C0438443  Vacuum delivery unspecified
C0438445  Breech extraction - delivered
C0438692  Vaginal discharge symptom
C0451792  Deliv viab fetus in abdom preg
C0452219  Deliv,comb forceps+vacuum extr
C0455776  Vaginal lubrication
C0455791  Large scrotum
C0455792  Small scrotum
C0455795  Condition of male genitalia
C0455842  Problem getting an erection
C0455847  Uterus fixed
C0455849  Uterus mobile
C0455871  Baby kicks a lot
C0455874  Baby not kicking
C0455875  Strong fetal movements
C0455876  Weak fetal movements
C0455879  Offensive lochia
C0455886  Soft prostate
C0455887  Firm prostate
C0455888  Hard prostate
C0455889  Craggy prostate
C0455893  Pile easily reducible
C0455894  Pile difficult to reduce
C0455895  Pile cannot be reduced
C0455898  Has passed meconium
C0455903  Neonatal cord dry
C0455904  Neonatal cord moist
C0455905  Neonatal cord sticky
C0455906  Testicle in inguinal canal
C0455911  Good stream of urine
C0455913  Large testicle
C0455962  Menopause observation
C0456091  Giant, fetal
C0456129  Fetal gestation at delivery
C0456132  Large fontanelle
C0456133  Small fontanelle
C0456135  Impalpable fontanelle
C0456893  Poor clinical fetal growth
C0457206  Malodorous urine
C0457226  Uneffaced cervix
C0457227  Partially effaced cervix
C0457228  Av blood loss during periods
C0457233  Herpetic vesicle in vagina
C0457234  Tenderness in vaginal fornix
C0457235  Presence of Shirodkar suture with or without cervical incompetence
C0457245  Variable deceleration
C0457246  Prolonged deceleration
C0457247  Mixed deceleration
C0457250  Normal baseline fet heart rate
C0457256  Well flexed fetal head
C0457257  Deflexed fetal head
C0457258  Normal liquor volume
C0457260  Precipitant delivery
C0457261  Normal rate of delivery
C0457262  Slow rate of delivery
C0459907  Cervical os open
C0459908  Cervical os closed
C0460103  Vaginal vault bleeding
C0460134  Vulva granulation
C0460147  Prostate surface observation
C0473237  Frank haematuria
C0473389  Threatened prem.labor-not del
C0473482  Obst.lab.-bony pelvis-deliv.
C0473496  Rupture of uterus during and after labor - delivered
C0474371  Paving stone naevus
C0474457  Cervical obs - preg + labor
C0474459  Position of umbilical cord during labor
C0474463  Late onset of labor
C0474465  Labor not established
C0474471  Uterine observation in labor
C0474472  Segment uterus disting in lab
C0474473  State of upper segment retraction during labor
C0474474  Hyperton lwr uter segm labor
C0474475  Contraction of uterus during labor
C0474476  Descent of presenting part during labor
C0474484  Maternal condition during labor
C0474485  Distress from pain in labor
C0474486  Exhaustion during labor
C0474487  Odor of lochia
C0474505  Faeces in rectum
C0474737  Gynaecological test observ
C0475125  O/E - PR-rectum full of faeces
C0475195  Caesarean delivery - delivered
C0475550  Multiple deliv, all caes sectn
C0475602  Deliv by elective caes section
C0475603  Deliv by emerg caesar section
C0476313  Groin swelling
C0476377  Bladder filling defect
C0476378  Kidney filling defect
C0476379  [D]Ureter filling defect (context-dependent category)
C0476475  Localized hyperhidrosis
C0476476  Generalized hyperhidrosis
C0481458  Single stillbirth
C0481689  [V]Twin, mate live born (context-dependent category)
C0481713  Has nephrostomy
C0495036  Isolated proteinuria with minor glomerular abnormality
C0495194  Abn find antenat screen mother
C0495285  Destructive operation for delivery
C0496655  Singleton, unspecified as to place of birth
C0497130  Abnormal sweating
C0522073  Orthodeoxia
C0522117  Normal renin secretion
C0522118  Abnormal renin secretion
C0522119  Increased renin secretion
C0522120  Decreased renin secretion
C0522121  Absence of renin secretion
C0522124  Normal micturition
C0522125  URETHRAL SPASM
C0522153  DISCOLORATION URINE
C0522157  Pregnancy on intrauterine device
C0522159  Normal placental secretion of chorionic gonadotrophin
C0522161  Increased placental secretion of chorionic gonadotrophin
C0522162  Decreased placental secretion of chorionic gonadotrophin
C0541752  ABORTION COMPLETE INCOMPLETE MISSED ETC.
C0541803  WEIGHT BIRTH EXCESSIVE
C0541842  CONTRACTIONS UTERINE INCREASED
C0541919  DYSTONIC REACTION
C0541940  Decreased erection of penis
C0541988  GLOBULINURIA
C0542230  SWEATY PLAMS
C0542485  Placenta incomplete
C0542517  Fusion of vulva
C0542518  Enlarged kidney
C0543392  FECES BLOODSTAINED
C0549447  URINE ODOR FOUL
C0554391  Eclampsia - delivered
C0555064  Uterine cervix fissured
C0555065  Frequent periods
C0555066  Length of cycle stable
C0555068  Obs of shape pregnant abdomen
C0555703  O/E - scrotal edema
C0555733  Prostate enlarged on PR
C0555735  O/E - labia
C0555736  O/E - vulva
C0555738  On examination - vaginal examination - non-obstetric
C0555743  O/E - triplet present.
C0555744  O/E - twin presentation
C0555745  O/E - PP free - not engaged
C0555746  O/E - presenting part engaged
C0557878  Hot sweats
C0558368  Vaginal irritation
C0558377  Grand multip in labor
C0558378  Elderly primipar with labor
C0558487  C/O right iliac fossa pain
C0558488  C/O left iliac fossa pain
C0558510  O/E - female genitalia
C0558754  Cremasteric reflex negative
C0558755  Cremasteric reflex positive
C0558983  Bladder control - child
C0559099  Had short umbilical cord
C0559563  Delivery observations
C0559886  POSTMATURE BIRTH
C0559892  Normal menstruation, NOS
C0561919  Spotting per vagina in pregnancy
C0565555  Transverse/oblique lie
C0565561  Norm deliv - occipitoanterior
C0565581  Myalgia/myositis -pelvis/thigh
C0565608  Was malpresentation pre-labor
C0565612  Born after induced labor
C0565855  Had umbilical cord around neck
C0566640  Labor observations
C0566669  Obs pattern of labor
C0566670  Obs duration of labor
C0566671  Long duration of labor
C0566672  Short duration of labor
C0566673  Obs blood loss in labor
C0566674  Maternal blood loss minimal
C0566675  Mat blood loss in norm limit
C0566676  Maternal blood loss moderate
C0566677  Maternal blood loss heavy
C0566678  Obs measures of labor
C0566683  EBL-Estim maternal blood loss
C0566684  Device-assoc observ labor
C0566685  Expulsion of IUCD during third stage of labor
C0566687  Mother delivered
C0566688  Mother not delivered
C0566689  Obs pattern of delivery
C0566690  Vaginal delivery
C0566691  Delivery problem
C0566692  Obs structur conception
C0566693  Large placenta
C0566694  Small placenta
C0566695  Placenta normal size
C0566696  Obs form of placenta
C0566697  Obs completeness placenta
C0566698  Lesion of placenta
C0566699  Fresh retroplacental clot
C0566700  Old retroplacental clot
C0566701  Placenta infected
C0566702  Placenta fatty deposits
C0566705  Placenta offensive odor
C0566706  Obs color of placenta
C0566707  Placenta pale
C0566708  Obs measures of placenta
C0566709  Obs placental function
C0566710  Placenta healthy
C0566711  Placenta unhealthy
C0566712  Placenta problem
C0566713  Amniotic membrane observation
C0566714  Amniotic membranes present
C0566715  Obs form amnio membrane
C0566716  Obs completen amnio membranes
C0566717  Obs number amniotic membrane
C0566718  Two placent membrane present
C0566719  One placental membrane present
C0566720  Lesion of amniotic membrane
C0566721  Obs measures amnio membrane
C0566722  Amniotc membranes normal
C0566723  Deficient amniotic fluid
C0566724  Excessive amniotic fluid
C0566725  Thick meconium stained liquor
C0566726  Obs fluid thrill amnio fluid
C0566727  Fluid thrill amnio flui presnt
C0566728  Fluid thrill amnio flui absent
C0566729  Amniotic fluid normal
C0566730  Umbilical cord observations
C0566731  Obs form of umbilical cord
C0566732  Umbilical cord thin
C0566733  Umbilical cord thick
C0566734  Obs pulsation of cord
C0566735  Obs puls cord thru intact mebr
C0566736  Puls umb cord palp intac membr
C0566737  Puls umb cord inpalp int memb
C0566738  Obs pulsat prolapsed cord
C0566739  Puls present prolapsed cord
C0566740  Puls absent prolapsed cord
C0566741  Obs arrang umbilical cord
C0566742  Cord around neck with compression
C0566745  Umb cord not around babys neck
C0566746  Obs measure umbilic cord
C0566747  Umbilical cord normal
C0566749  Cord not healing
C0566750  Cord clean
C0566751  Cord almost off
C0566752  Cord adherent
C0566753  Cord not separated
C0566754  Cord oozing
C0566755  Obs color umbilical stump
C0566756  Cord red
C0566757  Cord pink
C0566758  Cord black
C0566759  Obs odor umbil cord stump
C0566760  Umbil cord stump smell offens
C0566761  Lesion of umbilical stump
C0566763  Cord base inflamed
C0566765  Obs umbilical cord clamp
C0566766  Cord clamp secure
C0566767  Cord clamp needs removing
C0566768  Cord clamp left on
C0566769  Cord clamp off
C0566780  Ballottement
C0566781  Presenting part ballottable
C0566782  Ballotment fetal head abdomin
C0566783  Ballotment fetal head fundus
C0566784  Ballotment fetal head suprapub
C0566785  Ballotment fetal head vagin
C0566786  Present part not ballottable
C0566788  Obliq lie head rt iliac fossa
C0566789  Oblique lie head in left iliac fossa
C0566790  Obliq lie breech rt iliac foss
C0566791  Obliq lie breech lt iliac foss
C0566792  Fetal head flexed
C0566793  Fetal head partially flexed
C0566794  Fetal head extended
C0566797  Obs position of vertex pres
C0566798  Malpos fetus face present
C0566799  Malpos fetus brow present
C0566800  Malpos fetus shoulder present
C0566807  Breech deeply engaged
C0566808  Obs descent relat isch spine
C0566809  -5 level pres relati isch spin
C0566810  -4 level pres relati isch spin
C0566811  -3 level pres relati isch spin
C0566812  -2 level pres relati isch spin
C0566813  -1 level pres relati isch spin
C0566814  0 level pres relati isch spin
C0566815  1 level pres relati isch spin
C0566816  2 level pres relati isch spin
C0566817  3 level pres relati isch spin
C0566818  4 level pres relati isch spin
C0566819  5 level pres relati isch spin
C0566820  Obs presen part palpable vagin
C0566821  Fetal part palpable vaginally
C0566822  Vertex palpable vaginally
C0566823  Fetal mouth palpable vaginally
C0566824  Fetal ear palpable vaginally
C0566825  Fetal nose palpable vaginally
C0566826  Fetal orbital ridge palp vagin
C0566827  Fetal hand palpable vaginally
C0566828  Fetal foot palpable vaginally
C0566829  Fetal leg palpable vaginally
C0566830  Fetal breech palpable vaginal
C0566831  Compound present palpab vagin
C0566832  Obs present part visible vagin
C0566833  PP - Presenting part not seen
C0566834  PP - Presenting part visible
C0566835  PP - Presenting part visible at introitus
C0566836  Obs sagit suture palp vag
C0566837  Sag suture AP diameter
C0566838  Sag suture trans diameter
C0566839  Sag suture obliq diameter
C0566840  Sag suture rt obliq diameter
C0566841  Sagittal suture in left oblique diameter
C0566842  Obs fontanell palp vaginally
C0566843  Anterior fontanelle palpable
C0566844  Ant fontanell palpab anterior
C0566845  Ant fontanell palpab posterior
C0566846  Ant fontan palpab rt lat
C0566847  Ant fontan palpab lt lat
C0566848  Ant fontan palpab centrally
C0566849  Post fontan palpab
C0566850  Post fontanell palpab anterior
C0566851  Post fontanell palp posterior
C0566852  Post fontan palpab rt lat
C0566853  Post fontan palpab lt lat
C0566854  Post fontan palpab centrally
C0566855  Both fontanelles palpable
C0566858  Obs advance presenting part
C0566859  PP-Presen part advanc slowly
C0566860  PP - Presenting part not advancing
C0566861  PP - Presenting part on perineum
C0566862  Obs measures of fetus
C0566863  Fetal movements present
C0566865  Fetal movements not observed
C0566866  Observation of pattern of fetal movement
C0566867  Obs measure fetal movement
C0566868  Date fetal movements first detected
C0566873  Normal fetal heart rate
C0566874  Obs baseline fetal heart rate
C0566875  Regular fetal heart rhythm
C0566876  Irregular fetal heart rhythm
C0566878  Observation of fetal growth
C0566879  Fetus normal
C0566880  Fetal problem
C0566896  Vulva present
C0566897  Vulva absent
C0566898  Vulva not seen
C0566899  Small labia majora
C0566900  Large labia majora
C0566901  Small labia minora
C0566902  Large labia minora
C0566903  Observation of form of vulva
C0566905  Swelling of vulva
C0566906  LABIAL SWELLING
C0566910  Deposition on vulva
C0566911  White deposit on vulva
C0566912  Eruption of vulva
C0566913  Scalling of vulva
C0566914  Lichenification of vulva
C0566916  Hyperkeratosis of vulva
C0566917  Purpura of vulva
C0566918  Lesion of labia
C0566919  Obs discharge of vulva
C0566921  Obs sensation of vulva
C0566924  Numbness of vulva
C0566926  Observation of color of vulva
C0566927  Hyperpigmentation of vulva
C0566928  Vulva normal
C0566929  Vulva problem
C0566930  Clitoris present
C0566931  Clitoris absent
C0566932  Obs size of clitoris
C0566933  Normal sized clitoris
C0566934  Lesion of clitoris
C0566935  Swelling of clitoris
