C0003962  Ascites
C2006632  carbuncles on left knee (physical finding)
C2006633  carbuncles on left labia
C2006634  carbuncles on left lateral ankle
C2006635  carbuncle of lateral aspect of left arm
C2006636  carbuncles on left lateral canthus (physical finding)
C2006637  carbuncles on left lateral cheek (physical finding)
C2006638  carbuncle of lateral aspect of left elbow (physical finding)
C2006639  carbuncles on left lateral eyebrow (physical finding)
C2006640  carbuncle of little finger of left hand
C2006641  carbuncles on left little toe
C2006642  carbuncles on left lower abdomen (physical finding)
C2006643  carbuncles on left lower back
C2006644  carbuncles on left lower cheek (physical finding)
C2006645  carbuncles on left lower chest
C2006646  carbuncles on left lower eyelid (physical finding)
C2006647  carbuncles on left lower forehead (physical finding)
C2006648  carbuncles on left lower lip
C2006649  carbuncles on left lower paranasal fold
C2006650  carbuncles on left lower shin (physical finding)
C2006651  carbuncles on left medial ankle (physical finding)
C2006652  carbuncle of medial aspect of left arm
C2006653  carbuncles on left medial canthus (physical finding)
C2006654  carbuncles on left medial cheek (physical finding)
C2006655  carbuncle of medial aspect of left elbow
C2006656  carbuncles on left medial eyebrow
C2006657  carbuncles on left middle back (physical finding)
C2006658  carbuncle of middle finger of left hand (physical finding)
C2006659  carbuncles on left nipple
C2006660  carbuncles on left nostril (physical finding)
C2006661  carbuncle of outside of left elbow
C2006662  carbuncles on left paranasal fold (physical finding)
C2006663  carbuncles on left popliteal fossa
C2006664  carbuncle of ring finger of left hand (physical finding)
C2006665  carbuncles on left second toe (physical finding)
C2006666  carbuncles on left shin (physical finding)
C2006667  carbuncles on left side of anterior neck (physical finding)
C2006668  carbuncles on left side of chin (physical finding)
C2006669  carbuncles on left side of nose
C2006670  carbuncles on left side of posterior neck (physical finding)
C2006671  carbuncles on left side of scalp
C2006672  carbuncles on left side of tip of nose
C2006673  carbuncles on left superior calf
C2006674  carbuncles on left supraclavicular region (physical finding)
C2006675  carbuncles on left temple
C2006676  carbuncles on left thigh
C2006677  carbuncles on left third toe (physical finding)
C2006678  carbuncles on left thumb (physical finding)
C2006679  carbuncles on left tragus
C2006680  carbuncles on left upper abdomen
C2006681  carbuncles on left upper back (physical finding)
C2006682  carbuncles on left upper cheek
C2006683  carbuncles on left upper chest
C2006684  carbuncles on left upper forehead (physical finding)
C2006685  carbuncles on left upper lip (physical finding)
C2006686  carbuncles on left upper paranasal fold (physical finding)
C2006687  carbuncles on left upper shin (physical finding)
C2006688  carbuncle of volar aspect of left arm (physical finding)
C2006689  carbuncles on lip
C2006690  carbuncles on lower back (physical finding)
C2006691  carbuncles on lower eyelid
C2006692  carbuncles on lower lip
C2006693  carbuncles on margin of left lower eyelid (physical finding)
C2006694  carbuncles on margin of right lower eyelid (physical finding)
C2006695  carbuncles on margin of upper left eyelid
C2006696  carbuncles on margin of upper right eyelid (physical finding)
C2006697  carbuncles on medial arch of left foot (physical finding)
C2006698  carbuncles on medial arch of right foot (physical finding)
C2006699  carbuncles on medial heel of left foot (physical finding)
C2006700  carbuncles on medial heel of right foot (physical finding)
C2006701  carbuncles on medial metatarsal area of sole of left foot (physical finding)
C2006702  carbuncles on medial metatarsal area of sole of right foot (physical finding)
C2006703  carbuncles of medial aspect of both thighs
C2006704  carbuncles on medial surface of both knees (physical finding)
C2006705  carbuncles on medial surface of left forearm (physical finding)
C2006706  carbuncles on medial surface of left fourth toe
C2006707  carbuncles on the left great toe medial
C2006708  carbuncle of medial aspect of index finger of left hand
C2006709  carbuncles on medial surface of left knee
C2006710  carbuncle of medial aspect of little finger of left hand (physical finding)
C2006711  carbuncles on the left little toe medial
C2006712  carbuncle of medial aspect of middle finger of left hand
C2006713  carbuncle of medial aspect of ring finger of left hand
C2006714  carbuncles on medial surface of left second toe
C2006715  carbuncles on medial surface of left thigh (physical finding)
C2006716  carbuncles on medial surface of left third toe
C2006717  carbuncles on medial surface of left thumb (physical finding)
C2006718  carbuncles on medial surface of right forearm (physical finding)
C2006719  carbuncles on medial surface of right fourth toe
C2006720  carbuncles on medial surface of right great toe
C2006721  carbuncle of medial aspect of index finger of right hand (physical finding)
C2006722  carbuncles on medial surface of right knee
C2006723  carbuncle of medial aspect of little finger of right hand (physical finding)
C2006724  carbuncles on medial surface of right little toe
C2006725  carbuncle of medial aspect of middle finger of right hand (physical finding)
C2006726  carbuncle of medial aspect of ring finger of right hand
C2006727  carbuncles on medial surface of right second toe
C2006728  carbuncles on medial surface of right thigh
C2006729  carbuncles on medial surface of right third toe
C2006730  carbuncles on medial surface of right thumb (physical finding)
C2006731  carbuncles on metatarsal area of sole of left foot (physical finding)
C2006732  carbuncles on metatarsal area of sole of right foot (physical finding)
C2006733  carbuncles on middle back
C2006734  carbuncles on midline of chin (physical finding)
C2006735  carbuncles on midline region of abdomen (physical finding)
C2006736  carbuncles on midline region of chest
C2006737  carbuncle of multiple fingers of both hands (physical finding)
C2006738  carbuncles on nasolabial groove
C2006739  carbuncles on nipple (physical finding)
C2006740  carbuncles on nostril
C2006741  carbuncles on palmar surface of both hands
C2006742  carbuncles on palmar surface of left hand (physical finding)
C2006743  carbuncle of palmar aspect of index finger of left hand (physical finding)
C2006744  carbuncle of palmar aspect of little finger of left hand
C2006745  carbuncle of palmar aspect of middle finger of left hand
C2006746  carbuncle of palmar aspect of ring finger of left hand (physical finding)
C2006747  carbuncles on palmar surface of left thumb (physical finding)
C2006748  carbuncles on palmar surface of right hand (physical finding)
C2006749  carbuncle of palmar aspect of index finger of right hand (physical finding)
C2006750  carbuncle of palmar aspect of little finger of right hand (physical finding)
C2006751  carbuncle of palmar aspect of middle finger of right hand
C2006752  carbuncle of palmar aspect of ring finger of right hand
C2006753  carbuncles on palmar surface of right thumb (physical finding)
C2006754  carbuncles on paranasal fold
C2006755  carbuncles on periumbilical region of abdomen
C2006756  carbuncle of periungual region of index finger of left hand
C2006757  carbuncle of periungual region of little finger of left hand (physical finding)
C2006758  carbuncle of periungual region of middle finger of left hand
C2006759  carbuncle of periungual region of ring finger of left hand
C2006760  carbuncles on periungual region of left thumb (physical finding)
C2006761  carbuncle of periungual region of index finger of right hand
C2006762  carbuncle of periungual region of little finger of right hand
C2006763  carbuncle of periungual region of middle finger of right hand
C2006764  carbuncle of periungual region of ring finger of right hand
C2006765  carbuncles on thperiungual region of right thumb
C2006766  carbuncles on philtrum
C2006767  carbuncles on plantar surface of left fourth toe (physical finding)
C2006768  carbuncles on plantar surface of left great toe (physical finding)
C2006769  carbuncles on the left little toe plantar
C2006770  carbuncles on plantar surface of left second toe (physical finding)
C2006771  carbuncles on plantar surface of left third toe (physical finding)
C2006772  carbuncles on plantar surface of right fourth toe
C2006773  carbuncles on the right great toe plantar
C2006774  carbuncles on plantar surface of right little toe (physical finding)
C2006775  carbuncles on plantar surface of right second toe (physical finding)
C2006776  carbuncles on plantar surface of right third toe (physical finding)
C2006777  carbuncles on posterior heel of left foot
C2006778  carbuncles on posterior heel of right foot (physical finding)
C2006779  carbuncles on posterior neck
C2006780  carbuncles on posterior scalp
C2006781  carbuncles on posterior surface of both thighs (physical finding)
C2006782  carbuncles on posterior surface of left thigh (physical finding)
C2006783  carbuncles on posterior surface of right thigh (physical finding)
C2006784  carbuncles on proximal end of both thighs
C2006785  carbuncles on proximal end of left forearm
C2006786  carbuncles on proximal end of left fourth toe (physical finding)
C2006787  carbuncles on proximal end of left great toe
C2006788  carbuncle of proximal end of index finger of left hand
C2006789  carbuncle of proximal end of little finger of left hand (physical finding)
C2006790  carbuncles on proximal end of left little toe (physical finding)
C2006791  carbuncle of proximal end of middle finger of left hand (physical finding)
C2006792  carbuncle of proximal end of ring finger of left hand (physical finding)
C2006793  carbuncles on proximal end of left second toe
C2006794  carbuncles on proximal end of left thigh
C2006795  carbuncles on proximal end of left third toe (physical finding)
C2006796  carbuncles on proximal end of left thumb (physical finding)
C2006797  carbuncles on proximal end of right forearm (physical finding)
C2006798  carbuncles on proximal end of right fourth toe (physical finding)
C2006799  carbuncles on the right great toe proximal
C2006800  carbuncle of proximal end of index finger of right hand
C2006801  carbuncle of proximal end of little finger of right hand
C2006802  carbuncles on proximal end of right little toe (physical finding)
C2006803  carbuncle of proximal end of middle finger of right hand (physical finding)
C2006804  carbuncle of proximal end of ring finger of right hand (physical finding)
C2006805  carbuncles on proximal end of right second toe
C2006806  carbuncles on proximal end of right thigh (physical finding)
C2006807  carbuncles on proximal end of right third toe (physical finding)
C2006808  carbuncles on proximal end of right thumb
C2006809  carbuncles on right (physical finding)
C2006810  carbuncles on right ankle (physical finding)
C2006811  carbuncles on right antecubital fossa
C2006812  carbuncles on right antihelix
C2006813  carbuncles on right antitragus
C2006814  carbuncles on right areola (physical finding)
C2006815  carbuncles on right arm (physical finding)
C2006816  carbuncles on right auricle (physical finding)
C2006817  carbuncles on right breast (physical finding)
C2006818  carbuncles on right buttock (physical finding)
C2006819  carbuncles on right calf
C2006820  carbuncles on right cheek (physical finding)
C2006821  carbuncles on right concha
C2006822  carbuncles on right dorsal arm (physical finding)
C2006823  carbuncles on right elbow
C2006824  carbuncles on right extensor region of elbow
C2006825  carbuncles on right external auditory canal (physical finding)
C2006826  carbuncles on right eyebrow (physical finding)
C2006827  carbuncles on right forearm
C2006828  carbuncles on right fourth toe
C2006829  carbuncles on right great toe (physical finding)
C2006831  carbuncles on right helix
C2006832  carbuncle of index finger of right hand (physical finding)
C2006833  carbuncles on right inferior calf
C2006834  carbuncles on right infraclavicular region
C2006835  carbuncles on right knee (physical finding)
C2006836  carbuncles on right labia (physical finding)
C2006837  carbuncles on right lateral ankle (physical finding)
C2006838  carbuncles on right lateral arm (physical finding)
C2006839  carbuncles on right lateral canthus
C2006840  carbuncles on right lateral cheek (physical finding)
C2006841  carbuncle of lateral aspect of right elbow (physical finding)
C2006842  carbuncles on right lateral eyebrow (physical finding)
C2006843  carbuncle of little finger of right hand (physical finding)
C2006844  carbuncles on right little toe
C2006845  carbuncles on right lower abdomen
C2006846  carbuncles on right lower back (physical finding)
C2006847  carbuncles on right lower cheek
C2006848  carbuncles on right lower chest
C2006849  carbuncles on right lower eyelid
C2006850  carbuncles on right lower forehead
C2006851  carbuncles on right lower lip (physical finding)
C2006852  carbuncles on right lower paranasal fold (physical finding)
C2006853  carbuncles on right lower shin
C2006854  carbuncles on right medial ankle (physical finding)
