C0020458  Hyperhidrosis
C0567173  Cervix irregular in shape
C0567174  External os open
C0567175  Internal os open
C0567176  Obs of cervical dilatation
C0567177  Cervix dilated
C0567178  Rim of cervix palpable
C0567179  Cervix closed
C0567180  Ripe cervix
C0567181  Obs thickness of cervix
C0567182  Cervix thick
C0567183  Cervix thinning
C0567184  Cervix thin
C0567185  Cervix paper thin
C0567186  Obs consistency uterine cervix
C0567187  Cervix soft
C0567188  Cervix firm
C0567189  Cervix hard
C0567190  Stretchy cervix
C0567191  Uterine cervix not stretchy
C0567192  Rigid cervix
C0567193  Cervix normal consistency
C0567194  Obs arrang uterine cervix
C0567196  Cervix anterior
C0567197  Cervix central
C0567198  Cervix posterior
C0567199  Cervix mid-posterior
C0567200  Cervix very posterior
C0567201  Cervix lateral
C0567202  Obs direction of cervix
C0567203  Cervix directed forwards
C0567204  Cervix directed backwards
C0567205  Cervix directed to left
C0567206  Cervix directed to right
C0567207  Normal position of cervix
C0567220  Obs consist cervical mucous
C0567221  Thin cervical mucous
C0567222  Thick cervical mucous
C0567223  Obs cellular cervical mucous
C0567224  Cervical mucous cellular
C0567225  Cervical mucous acellular
C0567226  Obs ferning cervical mucous
C0567227  Obs sensation of cervix
C0567228  Cervix tender
C0567230  Pain of cervix
C0567231  Pain on movement of cervix
C0567232  Cervical excitation present
C0567233  Cervical excitation absent
C0567234  Cervical excitation equivocal
C0567235  Obs color of cervix
C0567236  Discoloration of cervix
C0567238  Observ measures of cervix
C0567240  Obs device of cervix
C0567241  Obs cervical cerclage suture
C0567242  Cervic cerclage suture absent
C0567243  Cervix healthy
C0567244  Uterine cervix problem
C0567245  Fallopian tube observations
C0567246  Fallopian tube present
C0567247  Fallopian tube absent
C0567248  Ovary observations
C0567249  Ovary present
C0567250  Absent ovary
C0567253  Obs arrangement of ovary
C0567254  Lesion of ovary
C0567255  Obs sensation of ovary
C0567256  Ovary tender
C0567259  Pain on movement of ovary
C0567260  Obs measures of ovary
C0567261  Normal ovary
C0567262  Ovary problem
C0567291  Satisf pelvic muscle tone
C0567292  Poor pelvic muscle tone
C0567296  Obs female genital functions
C0567299  Periods have not started
C0567301  Variat quant menstrual flow
C0567302  Obs duration menstruation
C0567303  Obs duration menstrual cycle
C0567304  Obs duration menstrual period
C0567305  Observation of period
C0567306  Menstrual bleeding present
C0567307  Not currently menstruating
C0567308  Obs measures of menstruation
C0567310  Obs sensation of periods
C0567311  Period pain absent
C0567312  Menopause present
C0567313  Menopause absent
C0567314  Female genital tract normal
C0567490  Nodule of skin of breast
C0567500  Obs appearance of nipple
C0567501  Normal size nipple
C0567502  Observation of form of nipple
C0567503  Obs proportion of nipple
C0567504  Nipples equal in size
C0567505  Obs color of nipple
C0567506  Nipple hypopigmented
C0567507  Nipple depigmented
C0567508  Discoloration of nipple
C0567509  Nipple normal color
C0567510  Lesion of nipple
C0567511  Edema of nipple
C0567515  Bleeding of surface of nipple
C0567520  Serous nipple discharge
C0567527  Obs sensation of nipple
C0567529  Nipple normal
C0567530  Nipple problem
C0567531  Inflamm gland Montgomery
C0567532  Lactiferous duct palpable
C0573965  Fallopian tube normal
C0573982  Feeling something com down vag
C0575029  Sacroiliac joint tender
C0576071  Hip joint painful on movement
C0576618  Bulbocavernos refl positive
C0576619  Bulbocavern refl negat
C0577204  Scrotum normal
C0577205  Testis present
C0577206  Obs of appear of testes
C0577207  Normal sized testicle
C0577208  Obs of consistency testes
C0577209  Soft testes
C0577210  Hard testes
C0577211  Testes - transverse lie
C0577212  Obs of sensation of testes
C0577213  Testicular tenderness
C0577214  Non-tender testes
C0577215  Lesion of testis
C0577216  Testis normal
C0577217  Epididymis present
C0577218  Epididymis absent
C0577219  Obs of appear of epididymis
C0577220  Epididymis enlarged
C0577221  Craggy epididymis
C0577223  Obs of sensation of epididym
C0577224  Epididymis tender
C0577226  Normal epididymis
C0577227  Observation of vas deferens
C0577228  Vas deferens present
C0577229  Absent vas deferens
C0577232  Spermatic cord observation
C0577233  Spermatic cord palpable
C0577234  non-palpable spermatic cord (physical finding)
C0577235  Obs of appearance penis
C0577237  Fistula of penis
C0577239  Large glans penis
C0577240  Small glans penis
C0577241  Foreskin present
C0577242  Foreskin absent
C0577243  Lesion of prepuce
C0577244  Ulcer of prepuce
C0577245  Edema of prepuce
C0577246  Mass of prepuce
C0577248  Able to get an erection
C0577249  Observation of ejaculation
C0577250  Penis normal
C0577251  Penis problem
C0577252  Prostate palpable
C0577253  Prostate not palpable
C0577254  Normal sized prostate
C0577255  Lesion of prostate
C0577257  Obs of sensatn of prostate
C0577276  Observation of ovulation
C0577277  Ovulation present
C0577278  Ovulation absent
C0577646  Sweating attack
C0578463  Abnorm perimenopausal bleeding
C0578503  Abnormal vaginal bleeding
C0578700  Obs of size of testicle
C0578703  Observation device of vagina
C0578762  Obs appear umbilical stump
C0578763  Obs moistn umbil stump
C0578905  Observ of measures of testes
C0579081  Delivery by caesarean hysterectomy
C0580182  Hyperhidrosis of axilla
C0580183  Hyperhidrosis of palms
C0580949  O/E - renal angle tenderness
C0580951  O/E - VE - uterine tenderness
C0581861  O/E - testes descended
C0581919  O/E - testicles small
C0582413  Uterus empty
C0586176  Normal menstrual bleeding
C0586559  Prostate mass
C0587150  O/E - male genitalia
C0587151  O/E - scrotum
C0587152  O/E - prostate
C0587153  O/E - testicle
C0587154  O/E - vagina
C0587155  O/E - uterus
C0587156  O/E - cervix
C0587157  O/E - ovary
C0588043  O/E - PR - prostate tender
C0588159  Normal testis consistency
C0741756  BREAST SKIN TAG
C0742157  CERVICAL LACERATION HEALED
C0744374  female genital mutilation status (diagnosis)
C0747330  normal pelvic exam (diagnosis)
C0748557  nodules scrotum
C0852967  Acne aggravated
C0940637  Non bleeding hemorrhoids
C0948106  ruptured membranes
C1263760  Follicular cervicitis (disorder)
C1269557  lochia rubra (physical finding)
C1272244  O/E - right scrotal swelling (finding)
C1272245  O/E - left scrotal swelling (finding)
C1275806  Fourth-degree perineal laceration during delivery
C1275867  Fimbriated end of right fallopian tube open
C1276007  On examination - PR - prostate median sulcus not preserved (finding)
C1276008  On examination - PR - prostate median sulcus preserved (finding)
C1277587  Heavy episode of vaginal bleeding (finding)
C1277639  Uterine cervix present
C1279423  Old laceration of vulva
C1281880  Vulval superficial dyspareunia (finding)
C1281940  Tiny uterus
C1282464  dehiscence of perineal wound
C1287067  Finding of Tanner boys genital development
C1287807  Finding of size of scrotum
C1287808  Finding of position of testicle
C1287809  Finding of size of penis
C1287811  Finding of shape of penis
C1287812  Finding of size of glans penis
C1287813  Finding of retraction of foreskin
C1287814  Finding related to ability to get an erection (finding)
C1287815  Finding of penile vascular function
C1287816  Finding of size of prostate
C1287817  Prostate consistency finding (finding)
C1287818  Finding of odor of smegma (finding)
C1287819  Finding of quantity of smegma (finding)
C1287821  Finding of color of lochia
C1287822  Finding of quantity of lochia
C1287823  Finding of pelvic muscle tone around vagina
C1287824  Finding of size of the uterus
C1287825  Finding of position of uterus
C1287826  Finding of version of uterus
C1287827  Finding of flexion of uterus
C1287828  Finding of mobility of uterus
C1287829  Finding of size of uterine cervix
C1287830  Finding of patency of cervical os uteri
C1287832  Finding of effacement of cervix
C1287833  Finding of parity of cervical os
C1287834  Finding of position of uterine cervix
C1287835  Finding of position of gravid cervix
C1287836  Finding of postcoital cervical mucus sperm motility
C1287837  Finding of cervical excitation
C1287838  Finding of size of ovary
C1287851  Finding of size of placenta
C1287853  Finding of odor of placenta
C1287872  Finding of size of nipple
C1287873  Finding of position of nipple
C1291684  Induced spermatogenic arrest (finding)
C1291695  Cervical dilatation finding (finding)
C1291700  Finding related to placental secretion of chorionic gonadotrophin
C1299951  Recessed vulva (finding)
C1301337  malignant ovarian ovarian neoplasm tnm staging (diagnosis)
C1301338  pM1 (IV): Distant metastasis (TNM category and FIGO stage) (ovary) (finding)
C1301471  pT1 (I): Tumor limited to ovaries (one or both) (TNM category and FIGO stage) (ovary) (finding)
C1301472  pT1a (IA): Tumor limited to one ovary; capsule intact, no tumor on ovarian surface. No malignant cells in ascites or peritoneal washings (TNM category and FIGO stage) (ovary) (finding)
C1301473  pT1b (IB): Tumor limited to both ovaries; capsule intact, no tumor on ovarian surface. No malignant cells in ascites or peritoneal washings (TNM category and FIGO stage) (ovary) (finding)
C1301474  pT1c (IC): Tumor limited to one or both ovaries with any of the following: capsule ruptured, tumor on ovarian surface, malignant cells in ascites or peritoneal washings (TNM category and FIGO stage) (ovary) (finding)
C1301475  pT2 (II): Tumor involves one or both ovaries with pelvic extension AND/OR implants (TNM category and FIGO stage) (ovary) (finding)
C1301476  pT2a (IIA): Extension to AND/OR implants on uterus AND/OR tube(s). No malignant cells in ascites or peritoneal washings (TNM category and FIGO stage) (ovary) (finding)
C1301477  pT2b (IIB): Extension to AND/OR implants on other pelvic tissues. No malignant cells in ascites or peritoneal washings (TNM category and FIGO stage) (ovary) (finding)
C1301478  pT2c (IIC): Pelvic extension AND/OR implants (T2a or T2b/IIA or IIB) with malignant cells in ascites or peritoneal washings (TNM category and FIGO stage) (ovary) (finding)
C1301479  pT3 and/or N1 (III): Tumor involves one or both ovaries with microscopically confirmed peritoneal metastasis outside the pelvis (including liver capsule metastasis) and/or regional lymph node metastasis (TNM category and FIGO stage) (ovary) (finding)
C1301480  pT3a (IIIA): Microscopic peritoneal metastasis beyond pelvis (no macroscopic tumour) (TNM category and FIGO stage) (ovary)
C1301481  pT3b (IIIB): Macroscopic peritoneal metastasis beyond pelvis 2 cm or less in greatest dimension (TNM category and FIGO stage) (ovary) (finding)
C1301482  pT3c AND/OR N1 (IIIC): Peritoneal metastasis beyond pelvis more than 2 cm in greatest dimension AND/OR regional lymph node metastasis (TNM category and FIGO stage) (ovary) (finding)
C1301483  Any T/any N and M1 (IV): Growth involving one or both ovaries with distant metastasis. (TNM category and FIGO stage) (ovary) (finding)
C1302427  Left fallopian tube not fused to left ovary (finding)
C1302432  Fimbriated end of right fallopian tube closed (finding)
C1302470  Right fallopian tube fused to right ovary (finding)
C1302508  Right fallopian tube not fused to right ovary (finding)
C1302526  Fimbriated end of left fallopian tube closed (finding)
C1302535  Fimbriated end of left fallopian tube patent (finding)
C1302664  Left fallopian tube fused to left ovary (finding)
C1313892  Scarring of vulva
C1314691  Age of onset of menstruation
C1320489  pN1 (IIIC): Regional lymph node metastasis (TNM category and FIGO stage) (ovary) (finding)
C1321003  Hydrops of amnion (disorder)
C1332921  Cervical Precancerous Atypia
C1334065  Hydropic Villous Change
C1335935  Epidermoid Cyst of Scrotum
C1336707  Epidermoid cyst of testis (disorder)
C1336868  Unilocular Cyst of Ovary
C1384674  Caesarean delivery NOS
C1406043  rectovaginal; septum with anal mucosa
C1406044  rectovaginal; septum with rectal mucosa
C1442778  hysterectomy, cesarean
C1443316  Amniotic fluid color
C1443317  Straw colored amniotic fluid (finding)
C1443318  Purulent amniotic fluid (finding)
C1444198  Amniotic fluid examination abnormal (finding)
C1527435  Postsurgical ovarian failure
C1531502  Amenorrhea associated with obesity (finding)
C1532779  Postmenopausal postcoital bleeding (finding)
C1532853  Premenopausal postcoital bleeding (finding)
C1533092  Painful rectal bleeding (finding)
C1562363  Four vessel umbilical cord
C1562435  Placental site nodule (disorder)
C1562942  Decreased ejaculate volume (finding)
C1562946  Penile sclerosing lipogranuloma due to injected substance (disorder)
C1699041  Oligo-ovulation
C1719552  Female genital mutilation Type IV status
C1719554  Female genital cutting
C1719601  Uterine size date discrepancy
C1827524  Wide spaced nipples (finding)
C1827620  Carcinoma of ovary, stage 4
C1828113  Difficulty managing menopause
C1841680  longitudinal vaginal septum
C1848888  Painless testicular mass
C1858564  transverse vaginal septum (physical finding)
C1880948  Generalized Hydropic Villous Change
C1881434  Localized Hydropic Villous Change
C1960886  Premenstrual dysphoric disorder in remission
C1960887  Acquired labial adhesion (finding)
C2004487  Vaginismus
C2004676  abnormal secretion from both nipples (physical finding)
C2004677  abnormal secretion from left breast
C2004678  abnormal secretion from right nipple (physical finding)
C2006453  carbuncles on areola (physical finding)
C2006459  carbuncles on both areolae
C2006461  carbuncles on both breasts
C2006473  carbuncles on labia bilaterally
C2006479  carbuncles on both nipples (physical finding)
C2006567  carbuncles on inferior lateral quadrant of left breast (physical finding)
C2006568  carbuncles on inferior lateral quadrant of right breast (physical finding)
C2006569  carbuncles on inferior medial quadrant of left breast (physical finding)
C2006570  carbuncles on inferior medial quadrant of right breast (physical finding)
C2006610  carbuncles on left areola
C2006613  carbuncles on left breast (physical finding)
C2006633  carbuncles on left labia
C2006659  carbuncles on left nipple
C2006739  carbuncles on nipple (physical finding)
C2006814  carbuncles on right areola (physical finding)
C2006817  carbuncles on right breast (physical finding)
C2006836  carbuncles on right labia (physical finding)
C2006862  carbuncles on right nipple
C2006896  carbuncles on superior lateral quadrant of left breast (physical finding)
C2006897  carbuncles on superior lateral quadrant of right breast
C2006898  carbuncles on superior medial quadrant of left breast
C2006899  carbuncles on superior medial quadrant of right breast (physical finding)
C2006972  carbuncle of anterior aspect of scrotum (physical finding)
C2006973  carbuncle of left side of scrotum (physical finding)
